,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,Ongole,15.5,80.05,85.39,75,4,12.48,IN,1651331396
315,Kanniyākumāri,8.0833,77.5667,84.67,81,91,18.88,IN,1651331396
316,Bubaque,11.2833,-15.8333,78.71,62,19,10.78,GW,1651331397
317,Tabora,-5.0167,32.8,73.02,78,96,1.86,TZ,1651331397
318,Srandakan,-7.9386,110.2506,78.4,88,100,4.52,ID,1651331398
319,Ugoofaaru,5.6667,73.0,85.5,74,100,11.97,MV,1651331398
320,Harper,4.375,-7.7169,85.75,66,85,7.87,LR,1651331399
321,Asău,46.4333,26.4,60.28,55,61,5.1,RO,1651331400
322,Irecê,-11.3042,-41.8558,85.08,37,100,11.36,BR,1651331400
323,Puerto Limón,10.0,-83.0333,75.09,94,100,3.44,CR,1651331401
324,Hambantota,6.1241,81.1185,82.76,81,85,15.26,LK,1651331403
325,Praia,14.9215,-23.5087,81.14,41,0,21.85,CV,1651331404
326,Bhawānipatna,19.9,83.1667,92.98,34,91,9.91,IN,1651331404
327,Bariloche,-41.1456,-71.3082,37.15,87,75,2.3,AR,1651331405
328,Hamilton,39.1834,-84.5333,64.98,78,100,11.5,US,1651331234
329,Soc Trang,9.6033,105.98,81.32,80,100,6.22,VN,1651331407
330,Rehoboth,-23.3167,17.0833,78.26,19,0,12.55,NA,1651331408
331,Haines Junction,60.7522,-137.5108,25.52,98,82,2.57,CA,1651331408
332,Ádánd,46.8593,18.1644,66.83,49,82,6.46,HU,1651331409
333,Vostok,46.4856,135.8833,36.16,95,100,1.92,RU,1651331410
334,Manzanillo,20.3433,-77.1167,83.19,55,0,5.73,CU,1651331411
335,Havøysund,70.9963,24.6622,30.43,75,100,15.19,NO,1651331411
336,Kenai,60.5544,-151.2583,40.03,68,0,9.22,US,1651331412
337,San Miguel de Tucumán,-26.8241,-65.2226,59.0,77,100,3.44,AR,1651331413
338,Salinas,36.6777,-121.6555,55.44,84,75,8.05,US,1651331155
339,Swan River,52.1058,-101.2676,41.99,85,100,7.65,CA,1651331414
340,Egvekinot,66.3167,-179.1667,13.69,85,100,11.3,RU,1651331415
341,Mandurah,-32.55,115.7,57.9,75,0,10.27,AU,1651331242
342,Marzuq,14.4,46.4667,82.33,46,22,13.06,YE,1651331416
343,Belaya Gora,68.5333,146.4167,5.47,99,97,3.76,RU,1651331417
344,Arica,-18.475,-70.3042,67.55,63,100,3.44,CL,1651331417
345,Gouyave,12.1646,-61.7296,83.17,79,20,21.85,GD,1651331418
346,Bar Harbor,44.3876,-68.2039,47.46,64,100,15.01,US,1651331419
347,College,64.8569,-147.8028,36.59,76,40,5.75,US,1651331241
348,Aksu,41.1231,80.2644,68.0,23,99,5.41,CN,1651331419
349,Boundiali,9.5217,-6.4869,100.47,23,77,5.5,CI,1651331420
350,Samsun Province,41.25,36.3333,52.99,97,75,4.61,TR,1651331421
351,Barranca,-10.75,-77.7667,68.85,78,81,7.34,PE,1651331421
352,Akola,20.7333,77.0,101.35,12,1,9.91,IN,1651331422
353,Son La,21.3167,103.9,70.2,93,100,2.37,VN,1651331423
354,Ingham,42.6,-84.3833,55.58,35,100,16.11,US,1651331424
355,Okha,53.5739,142.9478,29.8,97,100,6.64,RU,1651331229
